SpotifyID,Track,Artist,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,loudness,is_hit
30iKxSrrePRLm65wcRdHs7,Where To Piss And Shit In Oslo,Black Debbath,0.482,0.894,8,1,0.0523,0.00247,0.00165,0.102,0.602,132.347,279587,-5.317,0
2bbeNsFmjZqdoDhjLsKNWe,Bailamos,Enrique Iglesias,0.627,0.888,9,0,0.0388,0.0528,0.00237,0.136,0.591,99.905,214067,-4.523,1
4EWCNWgDS8707fNSZ1oaA5,Heartless,Kanye West,0.79,0.647,10,0,0.136,0.0515,0.0,0.248,0.654,87.999,211000,-5.983,1
6eevdFoUugmFV3cCiOuQiW,You Make Me Feel Good ,JK,0.739,0.613,9,1,0.037,0.112,0.00413,0.0565,0.947,125.975,237740,-13.728,0
15EPc80XuFrb2LmOzGjuRg,Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy,0.728,0.607,1,0,0.132,0.133,0.0,0.0864,0.445,129.938,176702,-8.417,1
4qkshp4FWe0msInDWTbBlR,God Blessed Texas,Little Texas,0.648,0.766,9,1,0.0326,0.232,1.54e-05,0.121,0.971,128.798,208733,-8.514,1
5rXkgeY6rpcHcsolCpXZHR,We Fly High,Jim Jones,0.685,0.8,1,1,0.298,0.0847,0.0,0.092,0.483,120.226,236080,-6.564,1
3EZAnO8lnPCBCcJcwAZbEB,Another Way To Die,Disturbed,0.621,0.967,6,1,0.0692,8.46e-05,0.00612,0.12,0.315,112.017,253387,-2.35,1
36osy3lTtOYL5GYJrUYafx,Sweet November,Troop,0.505,0.438,2,1,0.0447,0.237,0.0,0.503,0.346,60.064,286333,-10.942,1
26OiaQjhblncUk4GHDCysZ,The Burp Heard 'Round The World,James Newton Howard,0.313,0.507,0,1,0.0414,0.645,0.558,0.268,0.0583,84.306,110800,-9.59,0
57xW8NlNhWLdW78w25R3tb,P.Y.T. (Pretty Young Thing),Glee Cast,0.846,0.77,9,0,0.0692,0.162,0.0,0.205,0.896,127.362,236427,-4.768,1
03DrwKCR5YhSyQiAQUqzxK,Get It Wet,Twista,0.678,0.795,5,0,0.0822,0.00781,0.0,0.156,0.55,128.949,242960,-9.313,1
7dZ1Odmx9jWIweQSatnRqo,Million Reasons,Lady Gaga,0.666,0.423,0,1,0.043,0.494,0.0,0.106,0.154,129.89,205280,-8.012,1
3fQtdmVB0cAe4Hs9e5bVQb,Tell Me It's Real,K-Ci & JoJo,0.696,0.521,3,1,0.0343,0.189,0.0,0.117,0.552,134.28,278600,-6.635,1
3gcAVW0ZYaajy5PK9dAhut,Hope Of Deliverance,Paul McCartney,0.638,0.786,9,0,0.0341,0.181,5.3e-06,0.104,0.812,159.996,202000,-10.915,1
539dFCMA8lfEElDPgGpcIB,All My Friends Say,Luke Bryan,0.683,0.9,9,1,0.0333,0.0439,0.0,0.177,0.962,117.036,242800,-4.422,1
3AZ5XoHdiFpiKMky6M1Gt9,Suicidal Dream,Silverchair,0.465,0.708,11,0,0.0327,0.0286,1.34e-05,0.108,0.388,97.532,192783,-6.299,0
4MdqdRE2AUzRJ6iMcipr2m,Someday,Max Melvin,0.606,0.649,1,0,0.0366,0.212,0.838,0.127,0.414,100.034,263317,-9.464,0
4SdPtKBf7zrvxJugLAPLhE,Misery,Glee Cast,0.749,0.631,7,1,0.0569,0.188,0.0,0.11,0.812,102.962,188800,-5.826,1
2FDIwfqSI44hVE9D6RmLQQ,Walk On By,Sybil,0.682,0.722,9,1,0.0496,0.013,0.000816,0.0338,0.904,95.753,247267,-7.599,1
67UpJLYBsYEAbe0Mm1xRf8,Like It Like That,A Tribe Called Quest,0.931,0.409,3,0,0.159,0.585,1.11e-06,0.0946,0.715,95.02,166773,-8.059,0
2o6vwfPmcWRLjjVAQvXIrB,Un Gran Vacio,Michael Salgado,0.667,0.841,5,1,0.0419,0.278,2.78e-05,0.316,0.908,154.888,191347,-6.163,0
5ksoJlQJtduEkwQTo7UN7X,Cowboys And Angels,Dustin Lynch,0.355,0.55,10,1,0.0285,0.245,3.2e-05,0.0979,0.26,73.842,227720,-5.772,1
0GHTJADOXq1Dve5NUr3w35,Les Chaudrons,André Minvielle,0.695,0.421,9,1,0.414,0.856,0.000509,0.66,0.57,103.946,452893,-13.7,0
04MLEeAMuV9IlHEsD8vF6A,No Stylist,French Montana Featuring Drake,0.765,0.704,5,0,0.127,0.0215,0.0,0.227,0.498,147.055,192172,-4.589,1
3sS03NvxbrVgFNZgvnR26k,Down That Road,Alisan Porter,0.445,0.568,5,1,0.0317,0.539,0.0,0.101,0.437,143.716,232827,-5.484,1
